course_id,prereq_id
BIOL475L,BIOL101
BIOL475L,BIOL101L
BIOL475L,BIOL102L
BIOL475L,BIOL475
BIOL476,BIOL101
BIOL476,BIOL101L
BIOL476,BIOL102L
BIOL480,BIOL202
BIOL480,BIOL103
BIOL480,BIOL104
BIOL481,BIOL422
BIOL481,MCRO251
BIOL495,BIOL395
BIOL514,BIOL201
BIOL514,BIOL205
BIOL514,BIOL103
BIOL514,BIOL104
BIOL523,BIOL202
BIOL523,BIOL205
BIOL523,BIOL103
BIOL523,BIOL104
BIOL524,BIOL103
BIOL524,BIOL104
BIOL524,BIOL240
BIOL525,BIOL202
BIOL525,BIOL103
BIOL525,BIOL104
BIOL525,BIOL220
BIOL525,COMP110
BIOL525,COMP116
BIOL525,STOR120
BIOL525,STOR155
BIOL525,BIOL525L
BIOL525L,BIOL202
BIOL525L,BIOL103
BIOL525L,BIOL104
BIOL525L,BIOL220
BIOL525L,COMP110
BIOL525L,COMP116
BIOL525L,STOR120
BIOL525L,STOR155
BIOL525L,BIOL525
BIOL526,BIOL103
BIOL526,BIOL104
BIOL526,BIOL220
BIOL526,COMP110
BIOL526,COMP116
BIOL526,BIOL226
BIOL526,STOR120
BIOL526,STOR155
BIOL527,BIOL103
BIOL527,BIOL104
BIOL527,COMP110
BIOL527,COMP116
BIOL527,MATH232
BIOL528,BIOL202
BIOL528,BIOL103
BIOL528,BIOL104
BIOL528,BIOL220
BIOL528,COMP110
BIOL528,COMP116
BIOL528,BIOL226
BIOL528,BIOL528L
BIOL528L,BIOL202
BIOL528L,BIOL103
BIOL528L,BIOL104
BIOL528L,BIOL220
BIOL528L,COMP110
BIOL528L,COMP116
BIOL528L,BIOL226
BIOL528L,BIOL528
BIOL529,BIOL425
BIOL532,BIOL103
BIOL532,BIOL104
BIOL532,BIOL220
BIOL534,MATH383
BIOL534,MATH347
BIOL535,BIOL103
BIOL535,BIOL104
BIOL535,BIOL220
BIOL537,BIOL202
BIOL537,BIOL103
BIOL537,BIOL104
BIOL537,BIOL220
BIOL542,BIOL205
BIOL542,BIOL103
BIOL542,BIOL104
BIOL542,BIOL240
BIOL543,BIOL205
BIOL543,BIOL103
BIOL543,BIOL104
BIOL543,BIOL220
BIOL543,BIOL240
BIOL544L,BIOL205
BIOL544L,BIOL103
BIOL544L,BIOL104
BIOL544L,BIOL240
BIOL545,BIOL205
BIOL545,BIOL103
BIOL545,BIOL104
BIOL545,BIOL220
